distX,distY,id
112.148937,30.382018,276521827
112.153847,30.386488,8620552227
112.149607,30.381333,276523821
112.145951,30.388812,8621038667
112.150725,30.379528,8621865516
112.156305,30.381424,8620577187
112.148102,30.378675,276523372
112.15628,30.381065,276589404
112.157688,30.387463,8620698599
112.159065,30.384338,8608756426
112.1591,30.382696,8640083229
112.159099,30.381536,8622012506
112.159062,30.380105,8640068179
112.158879,30.379749,8620698572
112.158498,30.377529,8640123532
112.159743,30.386015,276521626
112.140115,30.38332,8608763374
112.139963,30.383359,8608816971
112.139717,30.390118,8621038325
112.164457,30.385666,8640070026
112.164723,30.385702,276521368
112.143225,30.37344,8640122022
112.161866,30.381944,276518092
112.162474,30.38077,276589245
112.160134,30.392806,8608763433
112.160057,30.39288,276518298
112.164907,30.38867,8620462599
112.161852,30.393021,8621788481
112.16336,30.391746,8640020478
112.160673,30.376666,8608756594
112.160338,30.37654,8620464403
112.161405,30.375726,276521746
112.17021,30.391596,5710081246
112.17039,30.391545,8621840014
112.173666,30.392212,276524760
112.182396,30.381514,8621055024
112.188122,30.383351,8640062827
112.189333,30.38681,8600139542
112.192071,30.383682,8608764524
112.182392,30.379606,276521696
112.193351,30.383817,276521742
112.191691,30.389195,276522467
112.193027,30.381993,8608752750
112.192525,30.38087,8621044947
112.191118,30.379535,276521615
112.194103,30.383741,8621055988
112.193711,30.381899,5710074724
112.193652,30.388519,276521232
112.193212,30.380846,8608763247
112.193763,30.381591,8620780461
112.193042,30.390081,8621949411
112.194363,30.381632,8640129753
112.19403,30.381073,8608759137
112.193939,30.380865,8620395159
112.188514,30.393479,8640147900
112.195074,30.380944,8608758242
112.190845,30.393041,8640133186
112.179646,30.392504,8622012434
112.195468,30.384087,8621192561
112.195546,30.384191,8621196423
112.195164,30.387922,8640123431
112.196267,30.383802,276589177
112.196291,30.382625,8620785204
112.198015,30.384095,8608817687
112.198111,30.383353,8608770946
112.197832,30.382887,8608772972
112.197892,30.382932,8621196806
112.19861,30.384164,5710082308
112.198033,30.382641,8608764556
112.199916,30.384037,276523819
112.198015,30.38259,8608757327
112.200498,30.386451,276517441
112.201558,30.383602,8621380364
112.199154,30.381527,8600139699
112.201529,30.38712,8640068170
112.201542,30.387129,8620474737
112.1999,30.381347,8608817738
112.197171,30.381029,8608818041
112.198902,30.380992,8621381070
112.203518,30.383701,8620467119
112.203632,30.383783,8621196988
112.203792,30.38335,276524057
112.20385,30.383129,276522199
112.203893,30.383096,8608755745
112.203783,30.382985,8621087733
112.203695,30.382902,8621442972
112.204001,30.383081,276524025
112.203978,30.38297,8608756712
112.203986,30.382823,8621379012
112.204178,30.382673,276517736
112.204317,30.382573,8621196942
112.205197,30.383109,8640127871
112.20583,30.383546,8621044860
112.205621,30.382628,8608772985
112.205662,30.382625,8621039396
