distX,distY,id
112.148961,30.382079,276521827
112.153784,30.386408,8620552227
112.149635,30.381287,276523821
112.146009,30.388789,8621038667
112.150742,30.379452,8621865516
112.156418,30.381561,8620577187
112.156465,30.381554,276589404
112.148154,30.37861,276523372
112.15773,30.387432,8620698599
112.159046,30.384187,8608756426
112.1591,30.382696,8640083229
112.159187,30.381494,8622012506
112.159173,30.380195,8640068179
112.158877,30.379794,8620698572
112.158572,30.377611,8640123532
112.159743,30.386015,276521626
112.140114,30.383232,8608763374
112.140074,30.3834,8608816971
112.139805,30.390048,8621038325
112.164402,30.385839,8640070026
112.164709,30.385747,276521368
112.143264,30.3735,8640122022
112.161948,30.381808,276518092
112.162474,30.38077,276589245
112.160172,30.392831,276518298
112.160193,30.392856,8608763433
112.164907,30.38867,8620462599
112.162119,30.392773,276521855
112.1619,30.392959,8621788481
112.163858,30.391485,8640020478
112.160601,30.376797,8608756594
112.160394,30.376606,8620464403
112.161387,30.375768,276521746
112.170273,30.391602,5710081246
112.170416,30.391555,8621840014
112.173693,30.392198,276524760
112.182475,30.38135,8621055024
112.188065,30.383305,8640062827
112.189437,30.386795,8600139542
112.19208,30.383712,8608764524
112.183568,30.37968,8608764972
112.182493,30.379644,276521696
112.191684,30.389225,276522467
112.193412,30.383822,276521742
112.193027,30.381993,8608752750
112.19264,30.381092,8621044947
112.191118,30.379535,276521615
112.192735,30.380923,8608763247
112.194429,30.383913,8621055988
112.19374,30.381828,5710074724
112.193776,30.388489,276521232
112.193756,30.381442,8608759137
112.193982,30.381477,8620780461
112.194372,30.382113,8640129753
112.192892,30.390176,8621949411
112.193821,30.380758,8620395159
112.188442,30.393547,8640147900
112.191007,30.392935,8640133186
112.179631,30.392478,8622012434
112.191778,30.392906,8608764796
112.195516,30.38437,8621196423
112.195504,30.384262,8621192561
112.195265,30.387872,8640123431
112.196567,30.383831,276589177
112.197012,30.383174,8621044923
112.198,30.384137,8608817687
112.197996,30.383408,8608770946
112.197853,30.382862,8608772972
112.196869,30.381881,8640119757
112.198604,30.384148,5710082308
112.198069,30.382839,8621196806
112.197905,30.382602,8608757327
112.198102,30.382861,8608764556
112.195592,30.381019,8608758242
112.199923,30.384027,276523819
112.200592,30.386284,276517441
112.201563,30.383696,8621380364
